Country Name,Regional indicator,Ladder Score,Log GDP per capita,Social support,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,2018_gdp,2018_growth,2018_life,2018_co2
Mozambique,Sub-Saharan Africa,4.654,7.162,0.738,0.897,0.049,0.691,0.64,0.397,14845870051,3.44381384,60.163,6640
Myanmar,Southeast Asia,4.411,8.523,0.774,0.906,0.49,0.647,0.777,0.3,68697759361,6.750460146,66.867,32520
Namibia,Sub-Saharan Africa,4.834,9.204,0.864,0.754,-0.169,0.846,0.739,0.24,13681065175,1.108049093,63.373,4250
Nepal,South Asia,4.91,8.087,0.768,0.77,0.122,0.742,0.537,0.387,33111525183,7.622376105,70.478,12030
Netherlands,Western Europe,7.463,10.941,0.939,0.92,0.161,0.371,0.862,0.205,9.14E+11,2.360915095,81.81219512,151170
New Zealand,Oceania,7.37,10.66,0.954,0.949,0.12,0.207,0.845,0.168,2.12E+11,3.20574788,81.85853659,32210
Nicaragua,Latin America and Caribbean,5.819,8.647,0.854,0.797,0.009,0.713,0.793,0.408,13025208220,-3.363705717,74.275,5210
Niger,Sub-Saharan Africa,5.164,7.087,0.612,0.791,0.009,0.637,0.771,0.503,12846952857,7.219172668,62.024,2290
Nigeria,Sub-Saharan Africa,5.252,8.548,0.741,0.79,-0.01,0.866,0.805,0.256,3.97E+11,1.922757342,54.332,130670
North Macedonia,Central and Eastern Europe,5.24,9.677,0.849,0.745,-0.041,0.91,0.59,0.298,12679934731,2.88059671,75.688,7370
Norway,Western Europe,7.444,11.056,0.966,0.96,0.094,0.268,0.827,0.212,4.37E+11,1.118828827,82.75853659,37350
Pakistan,South Asia,5.472,8.464,0.685,0.773,0.069,0.799,0.567,0.377,3.15E+11,5.836417498,67.114,208370
Panama,Latin America and Caribbean,6.281,10.343,0.904,0.861,-0.131,0.837,0.884,0.223,64928300000,3.598112758,78.329,10140
Peru,Latin America and Caribbean,5.68,9.456,0.845,0.83,-0.178,0.906,0.809,0.38,2.23E+11,3.96915687,76.516,54280
Philippines,Southeast Asia,5.869,9.05,0.846,0.918,-0.108,0.726,0.773,0.393,3.47E+11,6.341485571,71.095,142240
Poland,Central and Eastern Europe,6.111,10.366,0.863,0.87,-0.254,0.72,0.742,0.176,5.87E+11,5.353704746,77.60243902,312740
Portugal,Western Europe,5.92,10.434,0.887,0.877,-0.261,0.88,0.679,0.318,2.42E+11,2.849326461,81.32439024,49780
Romania,Central and Eastern Europe,6.151,10.26,0.818,0.845,-0.217,0.921,0.735,0.298,2.41E+11,4.474523775,75.35853659,74880
Rwanda,Sub-Saharan Africa,3.561,7.644,0.616,0.924,0.057,0.164,0.793,0.308,9640280084,8.579424541,68.7,1080
Saudi Arabia,Middle East and North Africa,6.356,10.771,0.868,0.855,-0.192,,0.764,0.288,7.87E+11,2.434110781,74.998,514600
Senegal,Sub-Saharan Africa,4.769,8.106,0.739,0.629,-0.074,0.805,0.714,0.247,23116699808,6.209241034,67.665,9860
